,tconst,isAdult,startYear,runtimeMinutes,genre_1,genre_2,genre_3,directors,title,averageRating,numVotes,primaryName
0,tt0036606,0,1983,118,Drama,War,,nm0705535,Les Coeurs captifs,6.5,335,Michael Radford
1,tt0087803,0,1984,113,Drama,Sci-Fi,,nm0705535,1984,7.1,74400,Michael Radford
2,tt0094317,0,1987,107,Crime,Drama,Mystery,nm0705535,Sur la route de Nairobi,6.4,2943,Michael Radford
3,tt0038687,0,1980,58,Documentary,War,,nm0001379,Que la lumière soit,7.4,1929,John Huston
4,tt0065950,0,1970,120,Crime,Drama,Thriller,nm0001379,La lettre du Kremlin,6.2,2192,John Huston
5,tt0068575,0,1972,96,Drama,Sport,,nm0001379,La dernière chance,7.3,9740,John Huston
6,tt0068853,0,1972,120,Comedy,Drama,Romance,nm0001379,Juge et hors-la-loi,6.9,8847,John Huston
7,tt0070351,0,1973,98,Thriller,,,nm0001379,Le piège,6.3,4822,John Huston
8,tt0073341,0,1975,129,Adventure,War,,nm0001379,L'homme qui voulut être roi,7.8,50288,John Huston
9,tt0080140,0,1979,106,Comedy,Drama,,nm0001379,Le malin,6.9,6082,John Huston
10,tt0081334,0,1980,91,Drama,Horror,Thriller,nm0001379,Phobia,4.1,727,John Huston
11,tt0083284,0,1981,116,Drama,Sport,War,nm0001379,À nous la victoire,6.6,31830,John Huston
12,tt0083564,0,1982,126,Comedy,Drama,Family,nm0001379,Annie,6.6,47044,John Huston
13,tt0088322,0,1984,112,Drama,,,nm0001379,Au-dessous du volcan,6.9,5895,John Huston
14,tt0089841,0,1985,130,Comedy,Crime,Drama,nm0001379,L'honneur des Prizzi,6.7,25331,John Huston
15,tt0092843,0,1987,83,Drama,,,nm0001379,Gens de Dublin,7.2,8443,John Huston
16,tt0039442,0,1973,88,Drama,,,nm0349426,"Parle, petite muette",6.1,156,Manuel Gutiérrez Aragón
17,tt0078998,0,1979,100,Drama,,,nm0349426,Le coeur de la forêt,6.4,97,Manuel Gutiérrez Aragón
18,tt0083813,0,1982,97,Drama,,,nm0349426,Démons dans le jardin,6.3,281,Manuel Gutiérrez Aragón
19,tt0091531,0,1986,127,Drama,,,nm0349426,L'autre moitié du ciel,6.7,419,Manuel Gutiérrez Aragón
20,tt0044952,0,1977,127,Drama,,,nm0315547,Le citoyen,8.0,222,Ritwik Ghatak
21,tt0070809,0,1973,159,Drama,,,nm0315547,Une rivière nommée Titash,7.2,1236,Ritwik Ghatak
22,tt0058950,0,1973,95,Comedy,Musical,,nm0149631,Le vendeur de bagues,7.3,169,Youssef Chahine
23,tt0063337,0,1972,105,Drama,,,nm0149631,"Un jour, le Nil",6.6,94,Youssef Chahine
24,tt0064038,0,1970,130,Drama,,,nm0149631,La terre,8.0,2204,Youssef Chahine
25,tt0064182,0,1971,89,Adventure,Drama,Romance,nm0149631,Sables d'or,6.6,40,Youssef Chahine
26,tt0065879,0,1971,103,Drama,Mystery,,nm0149631,Le choix,7.5,383,Youssef Chahine
27,tt0068225,0,1972,105,Drama,,,nm0149631,Le moineau,6.9,347,Youssef Chahine
28,tt0074168,0,1978,120,Crime,Drama,Musical,nm0149631,Le retour du fils prodigue,7.1,864,Youssef Chahine
29,tt0077751,0,1979,133,Drama,,,nm0149631,Alexandrie pourquoi?,7.3,1871,Youssef Chahine
